id1,pharmacy1,id2,pharmacy2,distance,duration
0,CERP,0,CERP,0,0
0,CERP,1,Pharmacie Principale,42409.3,2899.6
0,CERP,2,Pharmacie de Magny,17950.5,985.4
0,CERP,3,Pharmacie Avicenne,10807.9,1035.3
0,CERP,4,Pharmacie Lepesme,37971.2,2131.1
1,Pharmacie Principale,0,CERP,39579,2890.9
1,Pharmacie Principale,1,Pharmacie Principale,0,0
1,Pharmacie Principale,2,Pharmacie de Magny,58643,3439.3
1,Pharmacie Principale,3,Pharmacie Avicenne,48593.8,3283.5
1,Pharmacie Principale,4,Pharmacie Lepesme,96836.9,4527.9
2,Pharmacie de Magny,0,CERP,12548.4,1050.2
2,Pharmacie de Magny,1,Pharmacie Principale,64525,3391.8
2,Pharmacie de Magny,2,Pharmacie de Magny,0,0
2,Pharmacie de Magny,3,Pharmacie Avicenne,5498.8,490.2
2,Pharmacie de Magny,4,Pharmacie Lepesme,31051.5,1883.3
3,Pharmacie Avicenne,0,CERP,10897.8,1051.1
3,Pharmacie Avicenne,1,Pharmacie Principale,49281.6,3261.1
3,Pharmacie Avicenne,2,Pharmacie de Magny,5583.1,498.4
3,Pharmacie Avicenne,3,Pharmacie Avicenne,0,0
3,Pharmacie Avicenne,4,Pharmacie Lepesme,33538.4,2124.3
4,Pharmacie Lepesme,0,CERP,37957,2126.2
4,Pharmacie Lepesme,1,Pharmacie Principale,96312.5,4525.5
4,Pharmacie Lepesme,2,Pharmacie de Magny,31090.2,1902.7
4,Pharmacie Lepesme,3,Pharmacie Avicenne,33348.9,2097.4
4,Pharmacie Lepesme,4,Pharmacie Lepesme,0,0
