pharmacy1,pharmacy2,distance,duration
Pharmacie Principale,Pharmacie de Magny,59952.4,3538.7
Pharmacie Principale,Pharmacie Avicenne,52904.1,3335.6
Pharmacie Principale,Pharmacie Lepesme,103020.2,4535.3
Pharmacie Principale,PHARMACIE LEFEBVRE TOULET KAREN,62851.2,4629.6
Pharmacie Principale,Pharmacie des Ormes,66437.1,4294.6
Pharmacie Principale,Pharmacie de l'Olivier,48161.5,3339.6
Pharmacie Principale,Pharmacie du Faubourg,38165.1,2637
Pharmacie Principale,PHARMACIE DU PARC,38953.3,2566.4
Pharmacie de Magny,Pharmacie Avicenne,6397.7,623.3
Pharmacie de Magny,Pharmacie Lepesme,33217.6,1954.5
Pharmacie de Magny,PHARMACIE LEFEBVRE TOULET KAREN,50533.8,3321.8
Pharmacie de Magny,Pharmacie des Ormes,22367.8,1709.5
Pharmacie de Magny,Pharmacie de l'Olivier,3136,284.3
Pharmacie de Magny,Pharmacie du Faubourg,15546.8,1393.1
Pharmacie de Magny,PHARMACIE DU PARC,12864.5,1102.9
Pharmacie Avicenne,Pharmacie Lepesme,36681.1,2198.2
Pharmacie Avicenne,PHARMACIE LEFEBVRE TOULET KAREN,53680.6,3494.3
Pharmacie Avicenne,Pharmacie des Ormes,24445.4,1878.6
Pharmacie Avicenne,Pharmacie de l'Olivier,3315,383.8
Pharmacie Avicenne,Pharmacie du Faubourg,14532.2,1457.3
Pharmacie Avicenne,PHARMACIE DU PARC,9568.3,894.3
Pharmacie Lepesme,PHARMACIE LEFEBVRE TOULET KAREN,46489.4,2960.2
Pharmacie Lepesme,Pharmacie des Ormes,15976.8,1159.8
Pharmacie Lepesme,Pharmacie de l'Olivier,31039.7,1841.5
Pharmacie Lepesme,Pharmacie du Faubourg,42130,2430.7
Pharmacie Lepesme,PHARMACIE DU PARC,41914.5,2158.6
PHARMACIE LEFEBVRE TOULET KAREN,Pharmacie des Ormes,31677.1,2362.1
PHARMACIE LEFEBVRE TOULET KAREN,Pharmacie de l'Olivier,44388.3,3264.5
PHARMACIE LEFEBVRE TOULET KAREN,Pharmacie du Faubourg,36644.3,3045.1
PHARMACIE LEFEBVRE TOULET KAREN,PHARMACIE DU PARC,49739.9,3066.9
Pharmacie des Ormes,Pharmacie de l'Olivier,21668.2,1549.4
Pharmacie des Ormes,Pharmacie du Faubourg,28022,2008.4
Pharmacie des Ormes,PHARMACIE DU PARC,28101.9,1791.8
Pharmacie de l'Olivier,Pharmacie du Faubourg,13716.6,1234
Pharmacie de l'Olivier,PHARMACIE DU PARC,9956.3,873.3
Pharmacie du Faubourg,PHARMACIE DU PARC,6042.9,707.8
