id1,pharmacy1,id2,pharmacy2,distance,duration
0,Dépôt,0,Dépôt,0.0,0.0
0,Dépôt,1,Pharmacie A,4149.4,550.7
0,Dépôt,2,Pharmacie B,1409.4,179.0
0,Dépôt,3,Pharmacie C,2294.6,323.9
0,Dépôt,4,Pharmacie D,1390.1,155.2
0,Dépôt,5,Pharmacie E,1354.6,204.7
0,Dépôt,6,Pharmacie F,4209.2,588.0
0,Dépôt,7,Pharmacie G,4814.1,703.7
0,Dépôt,8,Pharmacie H,4267.7,690.2
0,Dépôt,9,Pharmacie I,3329.2,455.2
0,Dépôt,10,Pharmacie J,3484.2,437.4
0,Dépôt,11,Pharmacie K,2456.3,320.1
0,Dépôt,12,Pharmacie L,3892.7,512.4
0,Dépôt,13,Pharmacie M,1783.5,210.3
0,Dépôt,14,Pharmacie N,3120.8,423.7
0,Dépôt,15,Pharmacie O,2674.9,345.2
0,Dépôt,16,Pharmacie P,4215.6,587.3
0,Dépôt,17,Pharmacie Q,1532.4,198.6
0,Dépôt,18,Pharmacie R,1492.119083890644,367.46649351251114
0,Dépôt,19,Pharmacie S,1415.6200030245723,443.2360218368151
0,Dépôt,20,Pharmacie T,6162.359148121487,282.23094832914825
1,Pharmacie A,0,Dépôt,2002.5,279.4
1,Pharmacie A,1,Pharmacie A,0.0,0.0
1,Pharmacie A,2,Pharmacie B,1476.1,175.6
1,Pharmacie A,3,Pharmacie C,2071.7,249.0
1,Pharmacie A,4,Pharmacie D,3281.1,419.4
1,Pharmacie A,5,Pharmacie E,3976.6,488.3
1,Pharmacie A,6,Pharmacie F,2805.5,338.3
1,Pharmacie A,7,Pharmacie G,2266.2,263.1
1,Pharmacie A,8,Pharmacie H,1242.0,197.5
1,Pharmacie A,9,Pharmacie I,2527.0,419.7
1,Pharmacie A,10,Pharmacie J,3328.2,414.3
1,Pharmacie A,11,Pharmacie K,1876.4,245.2
1,Pharmacie A,12,Pharmacie L,3120.5,410.3
1,Pharmacie A,13,Pharmacie M,2765.1,354.6
1,Pharmacie A,14,Pharmacie N,1567.8,203.5
1,Pharmacie A,15,Pharmacie O,3892.5,512.3
1,Pharmacie A,16,Pharmacie P,1987.8,256.5
1,Pharmacie A,17,Pharmacie Q,3121.3,423.9
1,Pharmacie A,18,Pharmacie R,1567.968462371551,-182.8021732578423
1,Pharmacie A,19,Pharmacie S,1826.3293180794708,439.0895533156417
1,Pharmacie A,20,Pharmacie T,2726.456189233388,389.6823389755718
2,Pharmacie B,0,Dépôt,4625.3,662.0
2,Pharmacie B,1,Pharmacie A,3568.8,484.9
2,Pharmacie B,2,Pharmacie B,0.0,0.0
2,Pharmacie B,3,Pharmacie C,2261.2,299.8
2,Pharmacie B,4,Pharmacie D,2158.8,297.5
2,Pharmacie B,5,Pharmacie E,3305.8,391.4
2,Pharmacie B,6,Pharmacie F,2536.1,317.3
2,Pharmacie B,7,Pharmacie G,3144.5,409.7
2,Pharmacie B,8,Pharmacie H,1835.2,267.7
2,Pharmacie B,9,Pharmacie I,3648.4,474.3
2,Pharmacie B,10,Pharmacie J,3654.2,530.0
2,Pharmacie B,11,Pharmacie K,2765.1,354.6
