,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,0.0,2622.8,2140.9,2015.1,1781.6,618.2,982.4,751.0,1853.4,1737.2,1432.6,2625.8,1408.6,1072.8,1786.5,1346.8,2383.6,2649.1,2617.1,1338.7,1872.7,830.5,2145.5,1459.6,1418.5,2652.4,479.4,1877.9,418.2,1882.2,830.5,742.1,1383.1,860.0,2622.7,1915.5,1571.1,1583.6,3041.3,812.8,2050.4,1814.1,363.2,2351.3,928.1,1127.8,2916.9,943.4,2714.4,1420.7,1099.1,479.2,2860.8,542.0,1403.5,1377.2,1665.2,1946.4,2315.8,380.1,1489.9,1762.7,1872.5,2583.7,516.4,54.1,1024.6,964.5,1822.3,1981.7,707.4,632.6,1103.6,1268.1,1441.7,1472.6,1455.0,860.0,1081.3,1813.0,1763.6,1418.2,1790.7,1785.5,1574.0,273.9
1,2645.1,0.0,4480.2,4267.2,4152.4,2584.6,3374.3,3005.1,1862.3,4007.9,3035.9,4946.2,3085.4,1697.3,4007.2,2212.8,4081.7,4988.4,169.9,2204.7,1680.7,2814.3,1205.1,3174.3,3089.2,4694.5,2324.8,741.1,2810.1,899.8,2814.3,2256.9,3775.0,3199.3,175.5,4254.8,3963.0,1446.3,5380.6,1970.7,4389.7,4184.9,2448.2,4690.6,3112.4,2594.2,5256.2,2927.2,4647.0,1564.5,3113.8,2391.2,4537.6,2511.0,1465.1,1843.1,4004.5,3817.4,4653.9,2548.5,1129.5,4033.4,3687.5,136.5,2455.3,2632.2,3363.9,3356.4,4214.2,1432.7,3008.4,2599.0,2330.5,2221.2,3003.2,1189.1,3846.9,3199.3,3047.7,1621.0,3578.6,3233.2,3501.3,4131.6,1436.7,2633.5
2,2107.2,4451.8,0.0,1668.2,1319.8,2477.1,1591.8,1739.7,3712.3,1368.1,2407.7,1365.9,2383.7,2901.8,1439.6,3072.3,2084.6,895.0,4446.1,3098.7,3418.6,1890.0,3974.5,2196.3,2393.6,1969.7,2241.7,3706.9,1894.4,3711.2,1890.0,2601.0,1470.4,1641.7,4451.7,482.0,1269.4,3373.0,1182.2,2641.8,808.4,1378.3,2222.1,939.4,1854.4,2515.8,1080.3,1970.8,1896.1,3249.7,2048.4,2338.1,2629.6,2212.3,3232.5,3127.0,550.8,889.1,989.0,2239.0,3318.9,1393.6,922.6,4412.7,2375.3,2094.3,1319.4,1598.6,1132.1,3840.6,1696.1,2491.5,2754.2,2559.6,2416.8,3301.6,1309.1,1641.7,2353.7,3334.9,1052.6,1557.9,1733.6,1174.6,3403.0,2122.8
3,1961.9,4262.3,1695.4,0.0,463.6,2021.4,1192.1,1578.5,2889.8,319.1,1313.6,1163.6,1289.6,2786.4,345.5,2079.6,416.4,2440.3,4256.6,2106.0,3586.3,1728.8,3859.1,1102.2,1299.5,1029.2,2146.5,3517.4,1723.7,3595.8,1728.8,2455.7,631.5,1695.6,4260.5,1683.7,933.6,3297.2,1765.7,2526.4,2010.1,496.1,2076.8,2311.0,1755.6,2343.0,1713.3,1809.6,981.7,3134.3,1926.6,2192.8,961.4,2117.1,3117.1,3031.8,1788.6,2126.9,2411.6,2093.7,3129.4,344.6,2160.4,4223.2,2230.0,1949.0,1759.4,1173.1,996.0,3174.7,1534.9,1977.9,2702.4,2770.8,1322.7,3186.2,1141.6,1695.6,1655.4,3519.9,2290.4,2293.2,2665.7,982.5,3287.6,1956.0
4,1730.5,4105.0,1361.3,468.6,0.0,1790.0,960.7,1347.1,2784.3,168.5,1208.1,973.7,1184.1,2555.0,240.0,1974.1,885.0,2106.2,4099.3,2000.5,3354.9,1497.4,3627.7,996.7,1194.0,1000.3,1915.1,3360.1,1492.3,3364.4,1497.4,2224.3,400.1,1464.2,4104.9,1349.6,702.2,3065.8,1575.8,2295.0,1676.0,196.5,1845.4,1976.9,1524.2,2111.6,1523.4,1578.2,1062.3,2902.9,1695.2,1961.4,1430.0,1885.7,2885.7,2800.4,1454.5,1792.8,2077.5,1862.3,2972.1,194.0,1826.3,4065.9,1998.6,1717.6,1528.0,941.7,683.7,3069.2,1303.5,1746.5,2471.0,2539.4,1217.2,2954.8,910.2,1464.2,1549.9,3288.5,1956.3,2061.8,2434.3,751.1,3056.2,1724.6
5,629.0,2518.5,2536.6,2137.5,1904.0,0.0,1378.1,1146.7,1680.7,1859.6,1020.4,2748.2,996.4,1032.3,1880.3,989.2,1971.4,3044.8,2512.8,1015.6,1832.2,1038.0,2105.0,1047.4,1006.3,2584.2,581.7,1773.6,813.9,1841.7,1038.0,569.4,1649.7,1255.7,2518.4,2311.2,1882.2,1543.1,3350.3,772.3,2446.1,1936.5,346.1,2747.0,1323.8,1230.1,3297.9,1150.9,2536.7,1380.2,1379.4,265.0,2448.6,644.3,1363.0,1479.5,2060.9,2342.1,2711.5,422.3,1385.6,1885.1,2268.2,2479.4,308.7,616.1,1420.3,1360.2,2036.7,1809.0,1103.1,175.2,1205.9,1370.4,1029.5,1432.1,1850.7,1255.7,623.9,1772.5,2159.3,1813.9,2186.4,2023.2,1533.5,617.4
6,1014.7,3389.2,1568.4,1180.5,947.0,1384.6,0.0,511.6,2619.8,902.6,1400.2,1791.2,1376.2,1839.2,951.9,1992.3,1596.9,2076.6,3383.5,2018.7,2562.9,661.9,2911.9,1420.1,1386.1,1817.8,1199.3,2644.3,663.7,2648.6,661.9,1508.5,548.5,628.7,3389.1,1343.0,736.5,2350.0,2393.3,1579.2,1477.9,979.5,1129.6,1778.8,688.7,1276.1,2340.9,742.7,1879.8,2187.1,859.7,1245.6,2141.9,1169.9,2169.9,2079.1,1092.7,1373.9,1743.3,1146.5,2256.3,928.1,1407.4,3350.1,1282.8,1001.8,585.7,63.4,987.7,2748.1,468.0,1399.0,1635.5,1703.9,1409.3,2239.0,541.5,628.7,1331.4,2479.2,1537.4,1226.3,1598.8,916.7,2340.4,1030.3
7,743.9,2973.1,1759.0,1581.0,1347.5,1113.8,469.4,0.0,2349.0,1303.1,1461.6,2191.7,1437.6,1423.1,1352.4,1842.4,1997.4,2267.2,2967.4,1834.3,2080.0,190.2,2495.8,1488.6,1447.5,2218.3,763.0,2228.2,392.9,2232.5,190.2,1237.7,949.0,386.1,2973.0,1533.6,1137.0,1933.9,2659.4,1163.1,1668.5,1380.0,858.8,1969.4,194.2,804.4,2535.0,271.0,2280.3,1771.0,365.2,974.8,2542.4,717.5,1753.8,1607.4,1283.3,1564.5,1933.9,875.7,1840.2,1328.6,1598.0,2934.0,1012.0,731.0,630.4,451.5,1388.2,2477.3,46.9,1128.2,1163.8,1323.6,1470.7,1822.9,942.0,386.1,1168.5,1996.3,1527.9,1182.5,1555.0,1317.2,1924.3,759.5
8,1899.9,1870.3,3807.5,2911.5,2796.7,1657.1,2649.0,2417.6,0.0,2652.2,1680.2,3590.5,1729.7,1790.8,2651.5,901.0,2726.0,4315.7,1864.6,927.4,2654.8,2284.8,2289.6,1818.6,1733.5,3338.8,1795.3,1125.4,2084.8,1921.2,2284.8,1116.1,2711.4,2526.6,1866.3,3582.1,3036.0,2365.7,4202.9,1827.5,3717.0,2829.2,1617.0,4017.9,2582.9,2501.0,4190.6,2397.7,3291.3,2088.2,2626.2,1560.0,3181.9,1915.2,2171.1,2531.5,3331.8,3613.0,3982.4,1717.3,1016.5,2677.7,3539.1,1831.2,1624.1,1887.0,2691.2,2631.1,3098.4,649.3,2374.0,1687.9,2476.8,2641.3,1647.5,2262.2,3121.6,2526.6,1761.1,2595.1,3430.2,3084.8,3457.3,3084.9,2356.1,1888.3
9,1647.9,4022.4,1376.3,346.6,144.5,1707.4,878.1,1264.5,2655.5,0.0,1079.3,988.7,1055.3,2472.4,118.0,1845.3,763.0,2121.2,4016.7,1871.7,3272.3,1414.8,3545.1,867.9,1065.2,1015.3,1832.5,3277.5,1409.7,3281.8,1414.8,2141.7,317.5,1381.6,4022.3,1364.6,619.6,2983.2,1590.8,2212.4,1691.0,177.0,1762.8,1991.9,1441.6,2029.0,1538.4,1495.6,1077.3,2820.3,1612.6,1878.8,1308.0,1803.1,2803.1,2717.8,1469.5,1807.8,2092.5,1779.7,2889.5,72.2,1841.3,3983.3,1916.0,1635.0,1445.4,859.1,682.0,2940.4,1220.9,1663.9,2388.4,2456.8,1088.4,2872.2,827.6,1381.6,1421.1,3205.9,1971.3,1979.2,2351.7,668.5,2973.6,1642.0
